"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"1","Layer 01","","point","-98.10808563232422,56.13970947265625,-18.19769859313965"
"2","Layer 01","","point","-102.4299468994141,50.26612854003906,-18.19769859313965"
"3","Layer 01","","point","-99.66994476318359,58.52108001708984,-3.197698593139648"
"4","Layer 01","","point","-102.4299468994141,50.26612854003906,-18.19769859313965"
"5","Layer 01","","point","-102.9236755371094,49.50248718261719,-18.19769859313965"
"6","Layer 01","","point","-99.66994476318359,58.52108001708984,-3.197698593139648"
"7","Layer 01","","point","71.37258148193359,76.7183837890625,-18.19769859313965"
"8","Layer 01","","point","65.49900054931641,81.04024505615234,-18.19769859313965"
"9","Layer 01","","point","73.75395202636719,78.28024291992188,-3.197698593139648"
"10","Layer 01","","point","65.49900054931641,81.04024505615234,-18.19769859313965"
"11","Layer 01","","point","64.73535919189453,81.53397369384766,-18.19769859313965"
"12","Layer 01","","point","73.75395202636719,78.28024291992188,-3.197698593139648"
"13","Layer 01","","point","-73.79435729980469,-116.0480041503906,-18.19769859313965"
"14","Layer 01","","point","-75.16806793212891,-115.1445007324219,-18.19769859313965"
"15","Layer 01","","point","-79.91078186035156,-114.9028167724609,-3.197698593139648"
"16","Layer 01","","point","-75.16806793212891,-115.1445007324219,-18.19769859313965"
"17","Layer 01","","point","-76.00813293457031,-114.4395980834961,-18.19769859313965"
"18","Layer 01","","point","-79.91078186035156,-114.9028167724609,-3.197698593139648"
"19","Layer 01","","point","-39.10129165649414,96.82884216308594,14.80230140686035"
"20","Layer 01","","point","-37.70162582397461,97.33827972412109,14.80230140686035"
"21","Layer 01","","point","-35.86281204223633,99.90541076660156,7.489650726318359"
"22","Layer 01","","point","-37.70162582397461,97.33827972412109,14.80230140686035"
"23","Layer 01","","point","-37.07991790771484,97.48562622070312,14.80230140686035"
"24","Layer 01","","point","-35.86281204223633,99.90541076660156,7.489650726318359"
"25","Layer 01","","point","-76.00813293457031,-114.4395980834961,14.80230140686035"
"26","Layer 01","","point","-75.16806793212891,-115.1445007324219,14.80230140686035"
"27","Layer 01","","point","-79.91078186035156,-114.9028167724609,-0.1976985931396484"
"28","Layer 01","","point","-75.16806793212891,-115.1445007324219,14.80230140686035"
"29","Layer 01","","point","-73.79435729980469,-116.0480041503906,14.80230140686035"
"30","Layer 01","","point","-79.91078186035156,-114.9028167724609,-0.1976985931396484"
"31","Layer 01","","point","30.92308044433594,97.48562622070312,14.80230140686035"
"32","Layer 01","","point","31.5447883605957,97.33827972412109,14.80230140686035"
"33","Layer 01","","point","29.70597457885742,99.90541076660156,7.489650726318359"
"34","Layer 01","","point","31.5447883605957,97.33827972412109,14.80230140686035"
"35","Layer 01","","point","32.94445419311523,96.82884216308594,14.80230140686035"
"36","Layer 01","","point","29.70597457885742,99.90541076660156,7.489650726318359"
"37","Layer 01","","point","110.4994964599609,-59.14216613769531,-18.19769859313965"
"38","Layer 01","","point","110.3623275756836,-59.600341796875,-18.19769859313965"
"39","Layer 01","","point","115.1382827758789,-51.09568023681641,-10.88504791259766"
"40","Layer 01","","point","110.3623275756836,-59.600341796875,-18.19769859313965"
"41","Layer 01","","point","110.3149108886719,-59.71027755737305,-18.19769859313965"
"42","Layer 01","","point","115.1382827758789,-51.09568023681641,-10.88504791259766"
"43","Layer 01","","point","-116.6563262939453,22.51959228515625,14.80230140686035"
"44","Layer 01","","point","-116.519157409668,22.97776794433594,14.80230140686035"
"45","Layer 01","","point","-121.2951126098633,14.47310638427734,7.489650726318359"
"46","Layer 01","","point","-116.519157409668,22.97776794433594,14.80230140686035"
"47","Layer 01","","point","-116.4717407226562,23.08770370483398,14.80230140686035"
"48","Layer 01","","point","-121.2951126098633,14.47310638427734,7.489650726318359"
"49","Layer 01","","point","110.3149108886719,-59.71027755737305,14.80230140686035"
"50","Layer 01","","point","110.3623275756836,-59.600341796875,14.80230140686035"
"51","Layer 01","","point","115.1382827758789,-51.09568023681641,7.489650726318359"
"52","Layer 01","","point","110.3623275756836,-59.600341796875,14.80230140686035"
"53","Layer 01","","point","110.4994964599609,-59.14216613769531,14.80230140686035"
"54","Layer 01","","point","115.1382827758789,-51.09568023681641,7.489650726318359"
"55","Layer 01","","point","-37.26499557495117,97.42549133300781,-18.19769859313965"
"56","Layer 01","","point","-38.99332046508789,96.94368743896484,-18.19769859313965"
"57","Layer 01","","point","-35.86281204223633,99.90541076660156,-10.88504791259766"
"58","Layer 01","","point","-38.99332046508789,96.94368743896484,-18.19769859313965"
"59","Layer 01","","point","-42.94987487792969,95.57836151123047,-18.19769859313965"
"60","Layer 01","","point","-35.86281204223633,99.90541076660156,-10.88504791259766"
"61","Layer 01","","point","-118.8151931762695,15.87528991699219,-18.19769859313965"
"62","Layer 01","","point","-118.3333892822266,17.60361480712891,-18.19769859313965"
"63","Layer 01","","point","-121.2951126098633,14.47310638427734,-10.88504791259766"
"64","Layer 01","","point","-118.3333892822266,17.60361480712891,-18.19769859313965"
"65","Layer 01","","point","-116.9680633544922,21.5601692199707,-18.19769859313965"
"66","Layer 01","","point","-121.2951126098633,14.47310638427734,-10.88504791259766"
"67","Layer 01","","point","-37.07991790771484,-134.1082000732422,-18.19769859313965"
